name,description
Fe-SOD,
P5CS,
PDF1.2,
AtNCED,
P-protein,
Î²-glucosidase,
SOS1,
plastid terminal oxidase,
indole-3-acetic acid,
zeatingibberellic acid,
abscisic acid production,
antifungal,
protease,
1-aminocyclopropane-1-carboxylate (ACC) deaminase activity,
proline and proline analog (4-hydroxy-N-methyl proline),
glycine betaine, [important metabolites which are involved in salt tolerance of halophyte]
pinitol, [important metabolites which are involved in salt tolerance of halophyte]
myo-inositol, [important metabolites which are involved in salt tolerance of halophyte]
mannitol, [important metabolites which are involved in salt tolerance of halophyte]
sorbitol, [important metabolites which are involved in salt tolerance of halophyte]
O-methylmucoinositol, [important metabolites which are involved in salt tolerance of halophyte]
polyamines, [important metabolites which are involved in salt tolerance of halophyte]
